Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-08-20 17:13:39,false,"Toronto - Tempo Run","4.48","305","00:23:48","147","180","164","190","5:19","3:57","5","6","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.00","5","0.0","00:00:00","00:25:52","75","81"
Running,2021-08-19 08:16:46,false,"Toronto Running","2.18","148","00:12:16","134","151","158","173","5:37","4:49","3","6","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:15.61","1","0.0","00:00:00","00:12:16","75","81"
Running,2021-08-18 17:06:31,false,"Toronto Running","2.19","148","00:12:19","135","155","155","200","5:37","3:52","3","6","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:19.39","1","0.0","00:00:00","00:12:19","75","81"
Running,2021-08-17 16:57:35,false,"Toronto - Speed Repeats","6.36","445","00:35:37","149","191","148","215","5:36","3:11","4","7","1.16","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.00","12","0.0","00:00:00","00:35:37","75","81"
Running,2021-08-16 17:27:23,false,"Toronto Running","3.19","199","00:14:35","151","180","169","180","4:34","4:02","3","6","1.30","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:34.97","1","0.0","00:00:00","00:14:35","75","81"
Running,2021-08-15 16:45:57,false,"Toronto - Run","8.58","541","00:46:36","138","160","165","209","5:26","4:44","5","6","1.12","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.00","3","0.0","00:00:00","00:47:55","73","81"
Running,2021-08-14 08:19:07,false,"Blue Mountains Running","3.15","216","00:17:31","138","148","163","173","5:33","5:01","13","16","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","17:30.68","1","0.0","00:00:00","00:17:31","222","239"
Running,2021-08-13 07:16:40,false,"Toronto Running","2.12","122","00:11:59","124","150","157","169","5:39","4:21","3","6","1.13","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:59.34","1","0.0","00:00:00","00:11:59","75","90"
Running,2021-08-12 07:32:08,false,"Toronto Running","6.01","411","00:33:35","140","154","161","176","5:36","3:46","3","7","1.11","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","33:35.02","1","0.0","00:00:00","00:33:35","75","82"
Running,2021-08-11 20:02:53,false,"Toronto Running","2.26","147","00:11:12","144","166","159","171","4:57","4:15","3","6","1.27","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:11.96","1","0.0","00:00:00","00:11:12","75","81"
Running,2021-08-10 17:15:32,false,"Toronto Running","3.20","216","00:16:58","141","163","154","173","5:19","3:27","3","7","1.22","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","16:58.20","1","0.0","00:16:08","00:16:58","75","82"
Running,2021-08-09 16:33:42,false,"Toronto - Benchmark Run","3.73","249","00:17:24","157","180","166","184","4:40","3:17","3","7","1.27","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.00","4","0.0","00:17:19","00:17:30","75","82"
